Output_BisectDescription_HK1v8p_1


The bisect description for HK 1v 8p with initial box
[[0.125, 0.375], [100.0, 125.0], [75.0, 100.0], [12.5, 37.5], [150.0, 200.0], [1.25, 3.75], [0.0, 5.0], [0.0, 5.0]]
and the constrain on the minimum size of each interval
[0.125, 12.5, 12.5, 12.5, 25.0, 1.25, 1.25, 1.25]
and a limit on the maximum number of bisect steps 12.

It took 2163.8358728 seconds and computed 1787 integrals. Number of sub-boxes in the output is 894 from which
204 sub-boxes have I-hat less than 1.05,
334 sub-boxes have I-hat greater than 2.95,
356 sub-boxes have I-hat between 1.05 and 2.95.

All sub-boxes and their I-hat are listed below.

[[0.125, 0.25], [112.5, 125.0], [75.0, 87.5], [12.5, 25.0], [175.0, 200.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0370589717361733
[[0.125, 0.25], [112.5, 125.0], [87.5, 100.0], [12.5, 25.0], [150.0, 175.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.012773203241611
[[0.125, 0.25], [112.5, 125.0], [87.5, 100.0], [12.5, 25.0], [175.0, 200.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0122143338279053
[[0.25, 0.375], [100.0, 112.5], [75.0, 87.5], [12.5, 25.0], [150.0, 175.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 0.9765326641495299
[[0.25, 0.375], [100.0, 112.5], [75.0, 87.5], [12.5, 25.0], [150.0, 175.0], [2.5, 3.75], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0315315260352458
[[0.25, 0.375], [100.0, 112.5], [75.0, 87.5], [12.5, 25.0], [175.0, 200.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 0.9983827434684751
[[0.25, 0.375], [100.0, 112.5], [75.0, 87.5], [12.5, 25.0], [175.0, 200.0], [2.5, 3.75], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.035942193442337
[[0.25, 0.375], [100.0, 112.5], [75.0, 87.5], [25.0, 37.5], [150.0, 175.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0041767702383477
[[0.25, 0.375], [100.0, 112.5], [75.0, 87.5], [25.0, 37.5], [175.0, 200.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 0.9772278360753862
[[0.25, 0.375], [100.0, 112.5], [87.5, 100.0], [12.5, 25.0], [150.0, 175.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 0.9861550865905816
[[0.25, 0.375], [100.0, 112.5], [87.5, 100.0], [12.5, 25.0], [150.0, 175.0], [2.5, 3.75], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0073629560230082
[[0.25, 0.375], [100.0, 112.5], [87.5, 100.0], [12.5, 25.0], [175.0, 200.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 0.9740138445817397
[[0.25, 0.375], [100.0, 112.5], [87.5, 100.0], [12.5, 25.0], [175.0, 200.0], [2.5, 3.75], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0258709564766282
[[0.25, 0.375], [100.0, 112.5], [87.5, 100.0], [25.0, 37.5], [150.0, 175.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0062871362120371
[[0.25, 0.375], [100.0, 112.5], [87.5, 100.0], [25.0, 37.5], [175.0, 200.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 0.986487448158107
[[0.25, 0.375], [112.5, 125.0], [75.0, 87.5], [12.5, 25.0], [150.0, 175.0], [1.25, 2.5], [2.5, 5.0], [0.0, 2.5]]    Ians = 0.9856250931578228
[[0.25, 0.375], [112.5, 125.0], [75.0, 87.5], [12.5, 25.0], [150.0, 175.0], [2.5, 3.75], [2.5, 5.0], [0.0, 2.5]]    Ians = 1.0295759553329684
